Equipe;Reference Type;Record Number;Author;Year;Title;Short Title;Journal;Volume;Issue;Date;ISSN;DOI;Article Number;Accession Number;NIHMSID;Conference Name;Pages;Editor;Book Title;ISBN;Series Title;Number of Pages;Abstract
Team;Journal Article;202;Garcia, L., Damour, G., Kazakou, E., Fried, G., Bopp, M. C. and Metay, A.;2020;Seasonal and interannual variations in functional traits of sown and spontaneous species in vineyard inter-rows;Seasonal and interannual variations in functional traits of sown and spontaneous species in vineyard inter-rows;ECOSPHERE;11;5;MAY;2150-8925;10.1002/ecs2.3140;e03140;WOS:000538094900006;;;;;;;;;The trait-based approach can address questions in order to understand how the functioning of organisms scales up to that of ecosystems and controls some of the services they deliver to humans, including in agriculture. However, the importance of interspecific vs the intraspecific trait variability (ITV) for classifying species according to their traits in agrosystems on a large diversity of pedoclimatic situations and cropping systems remains still open. Here, we addressed three questions: How do measured traits vary across years and seasons? Are species rankings conserved across years and season? And which traits and species are the more stable and repeatable for sown and spontaneous species? We conducted a two-year experiment in a vineyard, and we measured four leaf and plant functional traits of 14 sown species and 43 spontaneous species that grew among sown species. Traits were measured at two key phenological stages for grapevine: budburst and flowering during two successive years with contrasted rainfall (2017 and 2018). We studied seasonal and interannual trait variations, rankings between species, and variance partitioning. The species factor explained the greatest part of trait variations across years and seasons. Sown and spontaneous species traits varied in the same way, and traits related to plant dry matter contents were the more stable across periods. Moreover, species rankings were conserved across years and seasons for all traits except plant height. Sown species showed better ranking conservation than spontaneous species overall. The trait-based approach seems promising for the comparison of various cropping systems involving sown and spontaneous species, and may help identifying service crop species related to specific agroecosystem services. Further research is needed to bring more knowledge on trait variations under a diversity of agrosystems, and to improve theoretical frameworks that would help the design of sustainable agrosystems that provide multiple ecosystem services.
Team;Journal Article;24;Garcia, L., Krafft, G., Enard, C., Bouisson, Y. and Metay, A.;2024;Adapting service crop termination strategy in viticulture to increase soil ecosystem functions and limit competition with grapevine;Adapting service crop termination strategy in viticulture to increase soil ecosystem functions and limit competition with grapevine;EUROPEAN JOURNAL OF AGRONOMY;156;;MAY;"1161-0301,1873-7331
";10.1016/j.eja.2024.127161;127161;WOS:001218096500001;MAR 2024;;;;;;;;Soil management and particularly service crops are a promising solution for addressing current challenges in viticulture as they limit the use of herbicides while increasing potential ecosystem services. Scientific literature barely considers the importance of service crop management to reach trade-offs between ecosystem services and disservices. This study evaluates during a three-year experiment, 6 service crop termination strategies for winter service crops, combining two service crops termination periods (early termination in February vs. termination at grapevine budburst) and three termination methods (mower (M), mower + tillage (T), roller-crimper (R)). Service crop (biomass, C:N ratio, weeds, and mulch following termination), soil ( soil organic matter, microbial biomass, and water and nitrogen stocks), and grapevines (predawn leaf water potential, yield components, delta 13C, yeast assimilable nitrogen in juice, and pruning weight) were monitored from 2019 to 2022. Allowing service crops to develop until the budburst of the vine resulted in a two to three-fold increase in biomass compared to early destruction. Termination involving soil tillage was the most effective method, as treatments destroyed early with soil tillage exhibited almost no regrowth. Soil tillage termination led to the lowest biomass of weeds at the grapevine flowering two years out of three, and prevented the regrowth of certain sown plants, especially Poaceae. The roller was less effective in destroying service crop species but was the best method for maintaining plant residues on the soil surface. A higher soil microbial biomass was observed with termination at budburst, combined with no-till termination methods. Termination involving soil tillage was notably more effective in stopping service crop transpiration, increasing soil water stocks and improving grapevine water status. In 2020 and 2022, soil inorganic nitrogen stocks were almost 4 times higher in the T treatments compared to the other two termination methods, achieving a level of approximately 61 kg ha-1 that closely corresponds to the annual nitrogen requirements of grapevines. The yeast-assimilable nitrogen (YAN) content in grape juice mirrored this trend. Pruning weight varied significantly between different termination methods, with T treatments exhibiting a higher pruning weight per vine in comparison to R and M treatments. In general terms, the T treatment had a significantly higher number of bunches, the M treatment had the lowest, and the R treatment exhibited intermediate values. Overall, the average grapevine yield ranged from 7.25 to 13.7 t ha-1, corresponding to 52-98 hL ha-1 (with 4000 vines ha-1, 140 kg hL-1). This level of production may be accepted for Protected Designations of Origin that limit grapevine yield to 40 or 60 hL ha-1, but it could be a limitation for Protected Geographical Indications, which permit 90 hL ha-1, or unlabeled productions without yield limitations. Given the Mediterranean climate context, with rising frequencies of dry winters due to climate change, termination involving soil tillage appears to be the least risky strategy to preserve grapevine vigor and production while improving soilbased ecosystem functions. However, this might be contingent on the targeted yield and wine valuation.
Team;Journal Article;198;Garcia, L., Metay, A., Kazakou, E., Storkey, J., Gary, C. and Damour, G.;2020;Optimizing the choice of service crops in vineyards to achieve both runoff mitigation and water provisioning for grapevine: a trait-based approach;Optimizing the choice of service crops in vineyards to achieve both runoff mitigation and water provisioning for grapevine: a trait-based approach;PLANT AND SOIL;452;1-2;JUL;"0032-079X,1573-5036
";10.1007/s11104-020-04543-y;;WOS:000534711000001;MAY 2020;;87-104;;;;;;Aims In vineyards, service crops may increase water infiltration and positively contribute to soil water refilling, but may also increase the risk of competition for water with grapevines which could impair grape yield over several years. This study aimed to test the relationships between service crop functional traits and two related services of major interest in viticulture: runoff control and water provisioning. Methods We measured the water stock, the cover rate, along with above- and belowground functional markers of 38 plant communities after a winter growing season in an experimental vineyard, to assess relationships between service crop functional markers, runoff control and water provisioning. Results Both aboveground and belowground functional markers were significant predictors of service provision at the community level. The plant aboveground dry matter content was positively related to soil water stocks and negatively related to the cover rate of the communities, while the specific leaf area (SLA) was positively related to the cover rate. The rooting depth and morphological root traits (specific root length and very fine root fraction) were negatively related with the soil water stock. Moreover, these results agree with ecological theories about the relationships between plant functional markers, plant ecological strategies and resources use. Conclusions The identification of functional markers related to service provision may help us to select species or communities service crops that could perform interesting trade-offs between multiple services due to a suited combination of related markers, and provide insights for plant selection in order to breed plant varieties and cultivars with the aim of providing agroecosystem services.
Team;Journal Article;180;Gaudin, R.;2020;Modelling the diffusion and exchange of ammoniacal nitrogen following deep placement of urea supergranules in wetland rice cultivation;Modelling the diffusion and exchange of ammoniacal nitrogen following deep placement of urea supergranules in wetland rice cultivation;SN APPLIED SCIENCES;2;11;OCT 14;"2523-3963,2523-3971
";10.1007/s42452-020-03624-y;1817;WOS:000577613200001;;;;;;;;;Deep placement of urea in the form of supergranules is often recommended in transplanted rice cultivation as a means of avoiding nitrogen loss in the environment. As ammoniacal nitrogen produced by urea hydrolysis just after deep application is chemically stable in the anaerobic layer of the paddy soil, it is relevant to study the diffusion-exchange phenomenon affecting this ammoniacal-N. More precisely, numerical calculus was called on to solve the nonlinear diffusion-exchange equation, admitting spherical symmetry in this context. The adsorption isotherm for ammoniacal-N intervening in this equation was a Freundlich isotherm. Experiments performed in the laboratory (untransplanted situation) and in the field (transplanted situation) enabled the monitoring of the time course of ammoniacal-N concentration in the central position. The tortuosity factor was evaluated at 0.80 in the paddy soil. In the field, the diffusion-exchange phase was clearly separated from the ammonia assimilation phase. The limit between the two was evaluated in six replicates. The first-order mechanism of ammonia disappearance is interpreted as the indication of a tight physiological regulation at the carbon-nitrogen interface acting within roots pushed to their limit in growth and assimilative capacity. This limit is here reported at 12 mM ammonia, attained 39 d after point application. This delay is enhanced when the tortuosity factor is reduced. Similar modelling in the context of cylindrical symmetry can be an option to study new urea fertilizers in the form of urea rods.
Team;Journal Article;67;Genty, L., Kazakou, E., Metay, A., Bastianelli, D., Bopp, M. C. and Barkaoui, K.;2023;Promising weeds forage potential in perennial Mediterranean agroecosystems;Promising weeds forage potential in perennial Mediterranean agroecosystems;AGRICULTURE ECOSYSTEMS & ENVIRONMENT;347;;MAY 1;"0167-8809,1873-2305
";10.1016/j.agee.2023.108388;108388;WOS:001001839700001;FEB 2023;;;;;;;;Biodiversity presence in perennial agroecosystems increases the provision of ecosystem services (ES). Weeds are known to deliver supporting or regulating services but their potential to provide provisioning services is less studied. Our study aims to quantify the potential of weeds to provide forage resources for livestock in two Mediterranean perennial agroecosystems: olive groves and vineyards. We used a trait-based approach to investigate the abiotic determinants of weed quality and quantity variations at both the species and community levels. We surveyed spontaneous vegetation in 16 vineyards and 16 olive groves in the French Mediterranean region with contrasting pedoclimatic conditions and agricultural practices, during spring and fall 2021. Four leaf traits were measured: Leaf Dry Matter Content (LDMC), Specific Leaf Area (SLA), Leaf Nitrogen Content (LNC) and leaf C/N ratio (Leaf C/N) and four forage potential indicators: dry matter digestibility (DMD), crude proteins (CP), neutral detergent fiber content (NDF) and aboveground biomass (AB). We found that DMD of perennial agroecosystems weeds is high (689 +/- 116 g kg-1), and can be compared to those of forage species. Using linear mixed models and path analysis, we found that, at the community scale, LDMC is negatively linked to weed forage quality and that disturbing agricultural practices like tillage, increase weed forage quality. However we did not find any effect of agricultural practices or pedoclimate on weeds leaf traits or on weeds quantity. Our results revealed the potential of weeds as highly digestible forage resources for livestock. The long-term aim is to promote the integration of livestock in perennial cropping systems in order to reduce the use of herbicides and/or tillage and to diversify agricultural production.
Team;Journal Article;50;Genty, L., Kazakou, E., Metay, A., Baude, M., Gardarin, A., Michelot-Antalik, A., Leroy, A., Sotillo, A., Crouzet, J. and Barkaoui, K.;2023;Flowers of ruderal species are numerous but small, short and low-rewarding;Flowers of ruderal species are numerous but small, short and low-rewarding;OIKOS;2023;12;DEC;"0030-1299,1600-0706
";10.1111/oik.10219;;WOS:001059113100001;SEP 2023;;;;;;;;Weed species are ecological models that recently received considerable attention due to their particular strategies linked to their ruderal-competitive traits. They are known to have the potential to provide additional floral resources for insects in flower-poor agroecosystems. However, their floral traits are much more scarcely studied than those of plants found in other habitats, such as grasslands. The aim of this study was to describe the floral phenotype of weeds and to determine to what extent their floral traits match their ecological strategies as described based on leaf traits. We cultivated 19 forb weeds from perennial agroecosystems, previously identified in Mediterranean fields, in a greenhouse for seven months and collected data on 12 floral and five leaf traits. We tested whether these traits covaried and exhibited an ecological strategy at the phenotype scale. We found that in matters of flower production, weed species face a tradeoff: either numerous small, low-stature flowers with small quantities of pollen and nectar, or few, large, higher-held flowers with more pollen and nectar. The floral traits were found to reflect Grime's CSR strategies: the weed species producing fewer but costlier flowers belonged to C-strategy species, whereas those producing more but less costly flowers belonged to species dominated by an R strategy. These findings indicate that the potential of weeds as floral resources for insects is related to their ecological strategies, which are known to be affected by agricultural practices that filter species composition. This implies that, as for the provision of other ecosystem services, weed communities can be managed to select species with floral traits matching the requirements of flower-visiting insects like pollinators or parasitoid wasps.
Team;Journal Article;8;Genty, L., Metay, A., Kazakou, E., Baude, M., Gardarin, A., Michelot-Antalik, A. and Barkaoui, K.;2025;Agricultural practices in olive groves modify weeds floral traits and resources throughout the year;Agricultural practices in olive groves modify weeds floral traits and resources throughout the year;AGRICULTURE ECOSYSTEMS & ENVIRONMENT;377;;JAN 1;"0167-8809,1873-2305
";10.1016/j.agee.2024.109280;109280;WOS:001308364900001;SEP 2024;;;;;;;;Lack of floral resources is suspected to be one of the factors involved in flower-visiting insect declines. Because agricultural landscapes are often poor in flowers, it seems crucial to assess weeds as floral resources to feed flower-visiting insects and to identify the factors that drive floral productivity, defined as floral biomass produced by the weed community. We monitored floral presence, productivity and traits in 16 olive groves from September 2021 to June 2022. The objectives were to understand to which extinct abiotic factors, among agricultural practices, pedoclimate and weather, determine floral productivity and to analyse the relationships between floral traits, floral presence and productivity. We found mowing frequency (2-3 per year on average) increased mean floral area and height, advanced flowering onset, and increased floral functional diversity and flowering species richness, which in turn increased floral presence and productivity.
Team;Journal Article;261;Guillot, E., Hinsinger, P., Dufour, L., Roy, J. and Bertrand, I.;2019;With or without trees: Resistance and resilience of soil microbial communities to drought and heat stress in a Mediterranean agroforestry system;With or without trees: Resistance and resilience of soil microbial communities to drought and heat stress in a Mediterranean agroforestry system;SOIL BIOLOGY & BIOCHEMISTRY;129;;FEB;"0038-0717,1879-3428
";10.1016/j.soilbio.2018.11.011;;WOS:000457661000013;;;122-135;;;;;;Soil microbial communities in Mediterranean agroecosystems experience long drought periods that are typically combined with heat and frequently interspersed with rapid rewetting events. Agroforestry systems are of growing interest and viewed as possible alternative to conventional cropping systems in the context of climate change. Our aim was to evaluate the resistance and resilience of soil microbial communities against drought with or without heat stress at different distances from the tree row in an agroforestry system as compared to a conventional cropping system. Soils were sampled at several distances from the tree row in a 21-year-old walnut agroforestry system and a contiguous conventional crop in Southern France. We simulated two cycles of drying-rewetting under controlled conditions and applied three distinct treatments: control (without stress), drought and drought combined with heat stress. We monitored microbial respiration over the incubation period. The inorganic N and microbial biomass C, N and P contents (MBC, MBN and MBP) were assessed during the drying period (resistance), just after rewetting and at the end of the experiment (resilience), while bacterial and fungal abundances were measured at the end of the resistance period. We demonstrated that an agroforestry system can induce spatial heterogeneity in soil microbial biomass and functions under control conditions. Microbial biomass and activity, soil organic matter (SOM) and mineral N levels increased on the tree row. This spatial heterogeneity pattern was preserved for soil microbial response to drought combined or not with heat. Microorganisms sampled in the middle of the interrow or in the conventional crop exhibited highest biomass resistance and lowest resilience when facing combined drought and heat stress. Soil microbial biomass resistance and resilience were similar whatever the spatial position when microorganisms had to deal with drought stress only. Our findings suggested that despite higher SOM content, microbial biomass and activity at and near the tree row, the legacy effect of the tree row did not lead to higher ecological stability under stressful climatic conditions. We also demonstrated that soil microorganisms can considerably change their stoichiometry depending on the stress treatment. Soil microorganisms showed elevated MBC:MBN, MBC:MBP and variable MBN:MBP during the resistance period. A high stoichiometric flexibility of microorganisms was observed when exposed to drought stress only, while stoichiometric changes were irreversible when exposed to combined drought and heat stress.
Team;Journal Article;41;Hossard, L., Blanc, L., Lambarraa-Lehnhardt, F., Dordas, C., Papakaloudis, P., Michalitsis, A., Lampurlanes, J., Latati, M., Touama, R., Kherif, O., Métral, R. and Plaza-Bonilla, D.;2024;Co-design of diversified cropping systems in the Mediterranean area;Co-design of diversified cropping systems in the Mediterranean area;EUROPEAN JOURNAL OF AGRONOMY;153;;FEB;"1161-0301,1873-7331
";10.1016/j.eja.2023.127050;127050;WOS:001134738300001;DEC 2023;;;;;;;;Agriculture today faces opposing challenges: reducing its environmental impacts while feeding a growing pop-ulation and adapting to climate change. Diversification of cropping systems has been proposed as a solution to address these issues and promote sustainable and resilient agricultural systems. While alternatives have been proposed by research and development, changing the agricultural systems remains a huge challenge. Engaging local actors when considering those changes is important for their successful implementation. While co-designing with stakeholders is gaining interest in the scientific community, approaches that consider varying local contexts remain uncommon. In this study, our aim was to co-design, during workshops with local stakeholders, diver-sification options in five case studies located in the Mediterranean countries of Algeria, France, Greece, and Spain. Prior to the co-design process, we conducted a SWOT/PESTLE analysis in each case study to analyze the local context of current and potential agricultural systems. Our hypothesis was that co-designed systems would differ between case studies, according to their environmental, social and political contexts leading to fine-tuned locally ad hoc systems. Options for intercropping and diversifying rotations were considered for both cereal -based systems and vine systems. Additionally, these options included adapted management practices for cereal-based systems and more innovative diversification, such as photovoltaic panels or agroforestry, for vine systems. While some of these options could serve as adaptations to climate change, they may not be sufficient to address future climate conditions. Interestingly, we did not observe significant differences among the system options designed for the various case studies, even though the local contexts were very different. Indeed, options only partially addressed the issues identified by stakeholders: primarily, economic and environmental threats. This study points to the advantage of participatory research in diverse contexts along with cross-case analyses, and to the need to consider the future of these Mediterranean regions, where crop diversification is limited by water deficit. To foster the transition next steps should consider assessing experimentally these systems with farmers to stimulate learning, while considering market possibilities.
Team;Journal Article;150;Hossard, L., Fadlaoui, A., Ricote, E. and Belhouchette, H.;2021;Assessing the resilience of farming systems on the Sais plain, Morocco;Assessing the resilience of farming systems on the Sais plain, Morocco;REGIONAL ENVIRONMENTAL CHANGE;21;2;JUN;"1436-3798,1436-378X
";10.1007/s10113-021-01764-4;36;WOS:000633006700002;;;;;;;;;"The Mediterranean region is expected to be a hotspot for climate change, making the resilience of farming systems a major challenge. Some studies have used quantitative models at the farm scale to analyze the resilience of farming systems but with little involvement of stakeholders. We used a participatory approach with local actors on the Sais plain of Morocco to design possible future states and qualitatively assess the resilience of typical farm types (FTs) experiencing major change. Our approach combined individual interviews of farmers and local actors, mainly public, with participatory collective meetings to identify representative FTs and their performance, project their evolutions and future performance in the face of change, and evaluate their resilience. Performance, defined according to literature, interviews and meetings, included different types of capital, income, yields, markets, support of public policies, and water access. Four FTs were considered: highly irrigated horticulture (FT1), rainfed cereals (FT2), partly irrigated cereal-legumes (FT3), and mostly irrigated fruit-tree/horticulture (FT4). The primary driver for FT2 and FT3 was climate change; for FT1 and FT4, it was limiting access to water resources. Participants designed more diversified systems for all FTs in relation to those changes. Rankings of FT performance did not change between current and future states. Performance did not evolve significantly, but FT4 was seen as the most resilient and FT2 the least. These qualitative results differ somewhat from other studies mobilizing quantitative approaches, but they highlight the potential of local adaptation to limit the impacts of global change on vulnerable agriculture."
Team;Journal Article;142;Huo, G. P., Gosme, M., Gao, X. D., Dupraz, C., Yang, J. L. and Zhao, X. N.;2021;Dynamics of interspecific water relationship in vertical and horizontal dimensions under a dryland apple-<i>Brassica</i> intercropping Quantifying by experiments and the 3D Hi-sAFe model;Dynamics of interspecific water relationship in vertical and horizontal dimensions under a dryland apple-<i>Brassica</i> intercropping Quantifying by experiments and the 3D Hi-sAFe model;AGRICULTURAL AND FOREST METEOROLOGY;310;;NOV 15;"0168-1923,1873-2240
";10.1016/j.agrformet.2021.108620;108620;WOS:000698753900006;AUG 2021;;;;;;;;"Separation of water absorption by roots between trees and crops is critical to intercropping in water-limited regions. The current knowledge about interspecific water relationship is in one dimension, i.e., the vertical direction, little is known in both vertical and horizontal directions under different rainfall conditions. Therefore, an experiment was carried out in an apple tree based intercropping system and an apple tree monoculture on China's Loess Plateau during one growing season which started with a high rainfall period followed by a low rainfall period. We investigated the spatial distribution of soil water and plant root, and simulated their water use strategies using the 3D Hi-sAFe model. The root growth of apple trees in the top 60 cm was restricted by intercropping in the cropped area but increased in the top 40 cm in the uncropped area compared with monoculture. In the high rainfall period, compared with the control, the apple trees' water absorption from the uncropped area (0-60 cm) increased by 44.43%, but the water utilization from the cropped area (0-60 cm) decreased by 32.59%. More than 90% of the soil water absorbed by B. napus came from the 0-60 cm soil layer in the cropped area. During the low rainfall period, intercropping promoted an increase of 14.79% in apple trees' water absorption from the 60-100 cm soil layer in the cropped area. The soil water in the 20-60 cm layer became the main source for B. napus and its contribution was 63.51%, but only 20.56% of the water absorbed by apple trees came from here. It can be concluded that, to alleviate water competition, water absorption between species was segregated horizontally during the wet period due to the roots ""niche differentiation"", while water use complementarity occurred along the vertical axis during the dry period."
Team;Journal Article;116;Inurreta-Aguirre, H. D., Lauri, P. E., Dupraz, C. and Gosme, M.;2022;Impact of shade and tree root pruning on soil water content and crop yield of winter cereals in a Mediterranean alley cropping system;Impact of shade and tree root pruning on soil water content and crop yield of winter cereals in a Mediterranean alley cropping system;AGROFORESTRY SYSTEMS;96;4;APR;"0167-4366,1572-9680
";10.1007/s10457-022-00736-9;;WOS:000777215600001;MAR 2022;;747-757;;;;;;"Pruning tree roots in alley cropping systems (ACS) could reduce underground competition and thus increase crop productivity. However, these management operations impose a stress on the trees, increase production costs and given the complexity of ACS; they may not lead to an increase in crop yield. Thus, the objective of this study was to measure the impact of root pruning in a Mediterranean ACS on soil water content and on the yield of two varieties each of barley and durum wheat. To achieve this, an experiment with three different treatments was conducted: monocrop (MC), and two 23-year-old hybrid walnut ACS, with (ACS_RP +) and without (ACS_RP-) root pruning. In each system, grain yield and yield components were measured and the microclimate and soil water content were recorded during the growing season. The ACS had lower incident radiation in the understory than MC and this radiation was unevenly distributed along the alley. Besides, ACS had lower air temperature during the day and higher at night in comparison with MC. Also, soil water content was higher in ACS than in MC. Within ACS, the soil water content was similar until the tree budburst but thereafter lower in ACS_RP-. The grain yield of both cereals was lower in ACS than in MC. Among the ACS there were no differences in grain yield or in any yield component for both cereals. From the above, it can be concluded that, under the conditions presented in the study, the root pruning increased the water available for the crops, but this did not increase crop yield. It is inferred that the main limiting factor for grain yield in the studied ACS was other than soil water."
Team;Journal Article;7;Kertolli, E., Prosperi, P., Harbouze, R., Moussadek, R., Echchgadda, G. and Belhouchette, H.;2024;The water-energy-food-ecosystem nexus in North Africa dryland farming: a multi-criteria analysis of climate-resilient innovations in Morocco;The water-energy-food-ecosystem nexus in North Africa dryland farming: a multi-criteria analysis of climate-resilient innovations in Morocco;AGRICULTURAL AND FOOD ECONOMICS;12;1;SEP 5;2193-7532;10.1186/s40100-024-00327-5;34;WOS:001306394100001;;;;;;;;;"Smallholder farmers, who mostly engage in low-value agriculture in the drylands of Northern Africa, were the first to have felt the effects of climate change, with threats to their livelihoods and food security. The increasing costs of agricultural production, poor water and energy infrastructure, loss of agricultural land due to urban expansion, fragmented resource management, and unsustainable management practices all contribute to this vulnerability to climate change. This highlights the urgent need for innovative practices in farming systems. Within the framework of the water-energy-food-ecosystem nexus, this paper explores innovative practices in dryland farming systems, by assessing their impact on water, energy, food, and ecosystem through stakeholder perception. In this work, we aim to present a systems approach for assessing the resilience of the water-energy-food-ecosystem nexus in arid and semiarid regions. By using a multi-criteria analysis (MCA) approach, the study-which focuses on the F & egrave;s-Mekn & egrave;s region in Morocco-involves local actors to help researchers identify the key variables in order to assist farmers in their adaptation to climate change. The findings revealed different priorities between farmers and other stakeholders regarding the adoption of agricultural innovations. Farmers prioritize innovations that guarantee higher profitability and more market opportunities, such as integrating olive trees with cereal crops, by highlighting the importance of sustainable income sources. Meanwhile, stakeholders, such as researchers, engineers, government officials, and agribusiness entrepreneurs, prioritize innovations that emphasize high water use efficiency, which is crucial for the resilience of dryland farming areas: for instance, rainwater harvesting or the use of drought-resistant crop varieties that directly address the need for water conservation. But in doing so they are overlooking broader aspects within the water-energy-food-ecosystem nexus."
Team;Journal Article;39;Lamiere, L., Jaeger, M., Gosme, M. and Subsol, G.;2023;Combinatorial Maps, a New Framework to Model Agroforestry Systems;Combinatorial Maps, a New Framework to Model Agroforestry Systems;PLANT PHENOMICS;5;;DEC 15;2643-6515;10.34133/plantphenomics.0120;0120;WOS:001161617900001;;;;;;;;;Agroforestry systems are complex due to the diverse interactions between their elements, and they develop over several decades. Existing numerical models focus either on the structure or on the functions of agroforestry systems. However, both of these aspects are necessary, as function influences structure and vice versa. Here, we present a representation of agroforestry systems based on combinatorial maps (which are a type of multidimensional graphs), that allows conceptualizing the structure-function relationship at the agroecosystem scale. We show that such a model can represent the structure of agroforestry systems at multiple scales and its evolution through time. We propose an implementation of this framework, coded in Python, which is available on GitHub. In the future, this framework could be coupled with knowledge based or with biophysical simulation models to predict the production of ecosystem services. The code can also be integrated into visualization tools. Combinatorial maps seem promising to provide a unifying and generic description of agroforestry systems, including their structure, functions, and dynamics, with the possibility to translate to and from other representations.
Team;Journal Article;128;Laurent, C., Le Moguédec, G., Taylor, J., Scholasch, T., Tisseyre, B. and Metay, A.;2022;Local influence of climate on grapevine: an analytical process involving a functional and Bayesian exploration of farm data time series synchronised with an eGDD thermal index;Local influence of climate on grapevine: an analytical process involving a functional and Bayesian exploration of farm data time series synchronised with an eGDD thermal index;OENO ONE;56;2;;2494-1271;10.20870/oeno-one.2022.56.2.5443;;WOS:000820993400008;;;301-317;;;;;;"Climate influence on grapevine physiology is prevalent and this influence is expected to increase with climate change. Climate influence on grapevine physiology can vary depending on the terroir. A better understanding of these local terroir variations is likely to be achieved with analyses that use local data; i.e., farm/vineyard data. Thus, the challenge lies in exploiting farm data to enable grape growers to understand their own terroir and consequently adapt their practices to the local conditions. In such a context, this article proposes an analytical process to site-specifically study climate influence on grapevine physiology by focusing on time series of the weather data often contained in farm data sets. This article focuses on temperature and precipitation influence on yield in the form of a case study. The analytical process includes the Extended Growing Degree Days (eGDD) and the Bayesian functional Linear regression with Sparse Steps functions (BLiSS) methods in order to detect site-specific periods of strong climate influence on grapevine yield. It uses data from three commercial vineyards situated in the Bordeaux region (France), California (USA) and Israel. In general, the periods of climate influence on grapevine yield detected for the three vineyards identified the same stages of yield development, which have already been studied in the scientific literature. However, some vineyard differences were observed, including: i) different periods of influence associated with a given stage of yield development between the vineyards, ii) different influential weather variables between the three vineyards for a given period, and iii) differing duration of the period of influence associated with a given stage of yield development between the vineyards. These results show the potential of the proposed analytical process for analysing the time series of farm weather data in order to extract site-specific climate indicators of grapevine yield."
Team;Journal Article;144;Laurent, C., Oger, B., Taylor, J. A., Scholasch, T., Metay, A. and Tisseyre, B.;2021;A review of the issues, methods and perspectives for yield estimation, prediction and forecasting in viticulture;A review of the issues, methods and perspectives for yield estimation, prediction and forecasting in viticulture;EUROPEAN JOURNAL OF AGRONOMY;130;;OCT;"1161-0301,1873-7331
";10.1016/j.eja.2021.126339;126339;WOS:000693094600010;AUG 2021;;;;;;;;Grapevine yield is defined as the quantity of harvest, expressed as either grape mass or wine volumeunits, which has been collected per surface unit are and per crop cycle. The information about current and future yield, termed a yield assessment in this paper, is an essential decision-making element for the grape and wine industry. Crop management, wine-making, commercial, accounting and strategic operations are all adapted to and all impact on the expected yield of the current vintage. Numerous yield assessment approaches have been proposed in the scientific literature. However, only a few of them have considered their adaptation to the operational context under the constraints, needs and strategies of commercial vineyards and wineries. The few studies that have worked on the operational implementation of yield assessment methods have only partially addressed this issue, concentrating their improvement efforts on a single step in the yield assessment process. This paper first proposes to review the characteristics of yield development in an operational context that must be taken into account by yield assessment methodsThese characteristics are consolidated into three main challenges for yield assessment methods: (i) addressing the complex temporality of yield development, (ii) ensuring a local monitoring of yield development and (iii) fitting to the operational needs and constraints to allow for relevant decision support systems in the field. The approaches of yield estimation, prediction and forecast are discussed in the context of these challenges. In a second step, the paper proposes a generic framework for the yield assessment process, including a review of the variables that are used to explain grapevine yield. Issues and proposals from the literature associated respectively with measurement, sampling and yield modelling are reviewed and the need for improved modelling of relationships between explanatory variables and the desired, reported yield variable is discussed. The yield assessment methods found in the literature are categorised and compared according to measurement, estimation and modelling approaches, and then according to the three challenges identified for yield assessment in operational conditions, such that the yield assessment method is adapted to commercial needs and not to research objectives. In conclusion, concrete proposals for new grape yield assessment methods are discussed in order to investigate the as yet unexplored opportunities for the improvement in yield assessment in operational contexts that have been identified in the paper. These considerations could easily be transposed to other perennial crops.
Team;Conference Paper;173;Laurent, C., Rançon, F., Fornieles, E. L., Scholasch, T., Metay, A., Taylor, J. and Tisseyre, B.;2021;Is it relevant to account for grapevine phenology in time series of satellite images?;;;;;;;10.3920/978-90-8686-916-9_18;;WOS:000863639700018;;PRECISION AGRICULTURE'21;163-169;;;;;;In precision agriculture, most spatio-temporal analyses involve the analysis of time series of remotely-sensed images whose dates are expressed according to the Gregorian calendar. However, in the agronomic literature, it is commonly accepted that calendars based on a thermal index allow a better representation of the actual state of development of the plant. This paper aims to demonstrate that potential new information at the block scale can be revealed by adjusting a NDVI time series extracted from Sentinel 2 images using a site-specific thermal index. This is achieved by removing part of the inter-annual differences in the time-series that is due to variations in phenology by using a temperature-based time adjustment. To do so, the paper is based on an operational case study in viticulture exploring whether a link between NDVI profiles and the consistency over years of harvest quality parameters could be hypothesised at the block scale.
Team;Journal Article;256;Lauri, PÉ;2019;Corner's rules as a framework for plant morphology, architecture and functioning - issues and steps forward;Corner's rules as a framework for plant morphology, architecture and functioning - issues and steps forward;NEW PHYTOLOGIST;221;4;MAR;"0028-646X,1469-8137
";10.1111/nph.15503;;WOS:000458259600004;;;1679-1684;;;;;;
